ISO 8601 Date Time,Top of Conservation (ac-ft),Top of Conservation (ac-ft) notes,Storage (ac-ft),Storage (ac-ft) notes,Elevation (ft),Elevation (ft) notes,Inflow (cfs),Inflow (cfs) notes,Outflow (cfs),Outflow (cfs) notes, Precip @ Dam (in), Precip @ Dam (in) notes,Gross Pool,Gross Pool(elev)
2019-09-14T24:00:00-07:00,520499.98,0,391027.00,0,549.42,0,2484.00,0,2561.00,0,0.00,0,520500.00,578.00
2019-09-15T24:00:00-07:00,520499.98,0,389485.00,0,549.05,0,2219.00,0,2954.00,0,0.00,0,520500.00,578.00
2019-09-16T24:00:00-07:00,520499.98,0,387785.00,0,548.64,0,2261.00,0,3080.00,0,0.00,0,520500.00,578.00
2019-09-17T24:00:00-07:00,520499.98,0,385011.00,0,547.97,0,1544.00,0,2908.00,0,0.00,0,520500.00,578.00
2019-09-18T24:00:00-07:00,520499.98,0,382706.00,0,547.41,0,1872.00,0,2985.00,0,0.00,0,520500.00,578.00
2019-09-19T24:00:00-07:00,520499.98,0,381718.00,0,547.17,0,2530.00,0,2992.00,0,0.00,0,520500.00,578.00
2019-09-20T24:00:00-07:00,520499.98,0,380159.00,0,546.79,0,1816.00,0,2572.00,0,0.00,0,520500.00,578.00
2019-09-21T24:00:00-07:00,520499.98,0,378115.00,0,546.29,0,1316.00,0,2311.00,0,0.00,0,520500.00,578.00
2019-09-22T24:00:00-07:00,520499.98,0,376198.00,0,545.82,0,1491.00,0,2421.00,0,0.00,0,520500.00,578.00
2019-09-23T24:00:00-07:00,520499.98,0,373111.00,0,545.06,0,1131.00,0,2650.00,0,0.00,0,520500.00,578.00
2019-09-24T24:00:00-07:00,520499.98,0,369639.00,0,544.20,0,1155.00,0,2857.00,0,0.00,0,520500.00,578.00
2019-09-25T24:00:00-07:00,520499.98,0,366908.00,0,543.52,0,1603.00,0,2951.00,0,0.00,0,520500.00,578.00
2019-09-26T24:00:00-07:00,520499.98,0,364903.00,0,543.02,0,1866.00,0,2834.00,0,0.00,0,520500.00,578.00
2019-09-27T24:00:00-07:00,520499.98,0,362314.00,0,542.37,0,1350.00,0,2612.00,0,0.00,0,520500.00,578.00
2019-09-28T24:00:00-07:00,520499.98,0,359298.00,0,541.61,0,900.00,0,2388.00,0,0.00,0,520500.00,578.00
2019-09-29T24:00:00-07:00,520499.98,0,356689.00,0,540.95,0,1175.00,0,2462.00,0,0.00,0,520500.00,578.00
2019-09-30T24:00:00-07:00,520499.98,0,352799.00,0,539.96,0,975.00,0,2912.00,0,0.00,0,520500.00,578.00
2019-10-01T24:00:00-07:00,514637.92,0,348996.00,0,538.99,0,984.00,0,2880.00,0,0.00,0,520500.00,578.00
2019-10-02T24:00:00-07:00,508775.85,0,345569.00,0,538.11,0,1335.00,0,3033.00,0,0.00,0,520500.00,578.00
2019-10-03T24:00:00-07:00,502913.78,0,341815.00,0,537.14,0,1408.00,0,3272.00,0,0.00,0,520500.00,578.00
2019-10-04T24:00:00-07:00,497051.71,0,338546.00,0,536.29,0,1544.00,0,3166.00,0,0.00,0,520500.00,578.00
2019-10-05T24:00:00-07:00,491189.64,0,335906.00,0,535.60,0,1581.00,0,2886.00,0,0.00,0,520500.00,578.00
2019-10-06T24:00:00-07:00,485327.57,0,332671.00,0,534.75,0,1412.00,0,3021.00,0,0.00,0,520500.00,578.00
2019-10-07T24:00:00-07:00,479465.50,0,328927.00,0,533.76,0,1372.00,0,3227.00,0,0.00,0,520500.00,578.00
2019-10-08T24:00:00-07:00,473603.43,0,324798.00,0,532.66,0,1301.00,0,3350.00,0,0.00,0,520500.00,578.00
2019-10-09T24:00:00-07:00,467741.37,0,322295.00,0,531.99,0,2111.00,0,3350.00,0,0.00,0,520500.00,578.00
2019-10-10T24:00:00-07:00,461879.30,0,319328.00,0,531.19,0,1861.00,0,3307.00,0,0.00,0,520500.00,578.00
2019-10-11T24:00:00-07:00,456017.23,0,316561.00,0,530.44,0,1686.00,0,3050.00,0,0.00,0,520500.00,578.00
2019-10-12T24:00:00-07:00,450155.16,0,314683.00,0,529.93,0,1712.00,0,2627.00,0,0.00,0,520500.00,578.00
2019-10-13T24:00:00-07:00,444293.09,0,312588.00,0,529.36,0,1658.00,0,2686.00,0,0.00,0,520500.00,578.00
2019-10-14T24:00:00-07:00,438431.02,0,310097.00,0,528.68,0,1659.00,0,2875.00,0,0.00,0,520500.00,578.00
2019-10-15T24:00:00-07:00,435499.99,0,307072.00,0,527.85,0,1474.00,0,2966.00,0,0.00,0,520500.00,578.00
2019-10-16T24:00:00-07:00,435499.99,0,303957.00,0,526.99,0,1472.00,0,3022.00,0,0.00,0,520500.00,578.00
2019-10-17T24:00:00-07:00,435499.99,0,300325.00,0,525.98,0,1183.00,0,2984.00,0,0.00,0,520500.00,578.00
2019-10-18T24:00:00-07:00,435499.99,0,296791.00,0,524.99,0,1044.00,0,2812.00,0,0.00,0,520500.00,578.00
2019-10-19T24:00:00-07:00,435499.99,0,293530.00,0,524.07,0,851.00,0,2473.00,0,0.00,0,520500.00,578.00
2019-10-20T24:00:00-07:00,435499.99,0,290678.00,0,523.26,0,954.00,0,2378.00,0,0.00,0,520500.00,578.00
2019-10-21T24:00:00-07:00,434692.82,0,287668.00,0,522.40,0,943.00,0,2436.00,0,0.00,0,520500.00,578.00
2019-10-22T24:00:00-07:00,429584.95,0,284746.00,0,521.56,0,977.00,0,2429.00,0,0.00,0,520500.00,578.00
2019-10-23T24:00:00-07:00,425225.08,0,282909.00,0,521.03,0,1604.00,0,2510.00,0,0.00,0,520500.00,578.00
2019-10-24T24:00:00-07:00,420308.21,0,280637.00,0,520.37,0,1322.00,0,2071.00,0,0.00,0,520500.00,578.00
2019-10-25T24:00:00-07:00,415204.34,0,279777.00,0,520.12,0,1685.00,0,2078.00,0,0.00,0,520500.00,578.00
2019-10-26T24:00:00-07:00,409903.47,0,278166.00,0,519.65,0,883.00,0,1665.00,0,0.00,0,520500.00,578.00
2019-10-27T24:00:00-07:00,404678.60,0,276283.00,0,519.10,0,948.00,0,1872.00,0,0.00,0,520500.00,578.00
2019-10-28T24:00:00-07:00,399491.73,0,273528.00,0,518.29,0,718.00,0,2103.00,0,0.00,0,520500.00,578.00
2019-10-29T24:00:00-07:00,394322.86,0,270621.00,0,517.43,0,652.00,0,2097.00,0,0.00,0,520500.00,578.00
2019-10-30T24:00:00-07:00,390228.99,0,268301.00,0,516.74,0,924.00,0,2056.00,0,0.00,0,520500.00,578.00
2019-10-31T24:00:00-07:00,391470.99,0,266963.00,0,516.34,0,1356.00,0,2013.00,0,0.00,0,520500.00,578.00
2019-11-01T24:00:00-07:00,392277.99,0,265327.00,0,515.85,0,1058.00,0,1871.00,0,0.00,0,520500.00,578.00
2019-11-02T24:00:00-07:00,394232.99,0,266327.00,0,516.15,0,2107.00,0,1585.00,0,0.00,0,520500.00,578.00
2019-11-03T24:00:00-08:00,396160.99,0,267264.00,0,516.43,0,2019.00,0,1512.00,0,0.00,0,520500.00,578.00
2019-11-04T24:00:00-08:00,396946.99,0,267096.00,0,516.38,0,1573.00,0,1634.00,0,0.00,0,520500.00,578.00
2019-11-05T24:00:00-08:00,397392.99,0,265227.00,0,515.82,0,956.00,0,1853.00,0,0.00,0,520500.00,578.00
2019-11-06T24:00:00-08:00,397961.99,0,263103.00,0,515.18,0,982.00,0,2035.00,0,0.00,0,520500.00,578.00
2019-11-07T24:00:00-08:00,398591.99,0,260825.00,0,514.49,0,937.00,0,2068.00,0,0.00,0,520500.00,578.00
2019-11-08T24:00:00-08:00,399466.99,0,259408.00,0,514.06,0,1126.00,0,1820.00,0,0.00,0,520500.00,578.00
2019-11-09T24:00:00-08:00,400045.99,0,258262.00,0,513.71,0,962.00,0,1524.00,0,0.00,0,520500.00,578.00
2019-11-10T24:00:00-08:00,400685.99,0,257052.00,0,513.34,0,956.00,0,1545.00,0,0.00,0,520500.00,578.00
2019-11-11T24:00:00-08:00,400709.99,0,255390.00,0,512.83,0,740.00,0,1558.00,0,0.00,0,520500.00,578.00
2019-11-12T24:00:00-08:00,400401.99,0,253086.00,0,512.12,0,368.00,0,1511.00,0,0.00,0,520500.00,578.00
2019-11-13T24:00:00-08:00,400063.99,0,251281.00,0,511.56,0,660.00,0,1550.00,0,0.00,0,520500.00,578.00
2019-11-14T24:00:00-08:00,399743.99,0,248744.00,0,510.77,0,109.00,0,1372.00,0,0.00,0,520500.00,578.00
2019-11-15T24:00:00-08:00,399433.99,0,247275.00,0,510.31,0,485.00,0,1209.00,0,0.00,0,520500.00,578.00
2019-11-16T24:00:00-08:00,399122.99,0,245205.00,0,509.66,0,-62.00,0,964.00,0,0.00,0,520500.00,578.00
2019-11-17T24:00:00-08:00,398793.99,0,243648.00,0,509.17,0,376.00,0,1152.00,0,0.00,0,520500.00,578.00
2019-11-18T24:00:00-08:00,398466.99,0,241973.00,0,508.64,0,378.00,0,1217.00,0,0.00,0,520500.00,578.00
