month_day,day_of_year,mean_inflow,std_inflow
03-10,69,2723.0238095238096,5830.943941020332
03-11,70,2723.0238095238096,5830.943941020332
03-12,71,3434.2558139534885,5244.050570444765
03-13,72,3434.2558139534885,5244.050570444765
03-14,73,3434.2558139534885,5244.050570444765
03-15,74,3434.2558139534885,5244.050570444765
03-16,75,3434.2558139534885,5244.050570444765
03-17,76,3434.2558139534885,5244.050570444765
03-18,77,3434.2558139534885,5244.050570444765
03-19,78,2685.2619047619046,2760.334100134804
03-20,79,2685.2619047619046,2760.334100134804
03-21,80,2685.2619047619046,2760.334100134804
03-22,81,2685.2619047619046,2760.334100134804
03-23,82,2685.2619047619046,2760.334100134804
03-24,83,2685.2619047619046,2760.334100134804
03-25,84,2685.2619047619046,2760.334100134804
03-26,85,2534.3571428571427,2118.2885616255376
03-27,86,2534.3571428571427,2118.2885616255376
03-28,87,2534.3571428571427,2118.2885616255376
03-29,88,2534.3571428571427,2118.2885616255376
03-30,89,2534.3571428571427,2118.2885616255376
03-31,90,2534.3571428571427,2118.2885616255376
04-01,91,2534.3571428571427,2118.2885616255376
04-02,92,2345.8571428571427,1466.5960850401354
04-03,93,2345.8571428571427,1466.5960850401354
04-04,94,2345.8571428571427,1466.5960850401354
04-05,95,2345.8571428571427,1466.5960850401354
04-06,96,2345.8571428571427,1466.5960850401354
04-07,97,2345.8571428571427,1466.5960850401354
04-08,98,2345.8571428571427,1466.5960850401354
04-09,99,3017.404761904762,2391.338466516228
04-10,100,3017.404761904762,2391.338466516228
04-11,101,3017.404761904762,2391.338466516228
04-12,102,3017.404761904762,2391.338466516228
04-13,103,3017.404761904762,2391.338466516228
04-14,104,3017.404761904762,2391.338466516228
04-15,105,3017.404761904762,2391.338466516228
04-16,106,3413.7619047619046,2492.0681469905803
04-17,107,3413.7619047619046,2492.0681469905803
04-18,108,3413.7619047619046,2492.0681469905803
04-19,109,3413.7619047619046,2492.0681469905803
04-20,110,3413.7619047619046,2492.0681469905803
04-21,111,3413.7619047619046,2492.0681469905803
04-22,112,3413.7619047619046,2492.0681469905803
04-23,113,4841.166666666667,4221.353620129314
04-24,114,4841.166666666667,4221.353620129314
04-25,115,4841.166666666667,4221.353620129314
04-26,116,4841.166666666667,4221.353620129314
04-27,117,4841.166666666667,4221.353620129314
04-28,118,4841.166666666667,4221.353620129314
04-29,119,4841.166666666667,4221.353620129314
04-30,120,4606.809523809524,3602.4653634061815
05-01,121,4606.809523809524,3602.4653634061815
05-02,122,4606.809523809524,3602.4653634061815
05-03,123,4606.809523809524,3602.4653634061815
05-04,124,4606.809523809524,3602.4653634061815
05-05,125,4606.809523809524,3602.4653634061815
05-06,126,4606.809523809524,3602.4653634061815
05-07,127,4082.5,2288.676167036519
05-08,128,4082.5,2288.676167036519
05-09,129,4082.5,2288.676167036519
05-10,130,4082.5,2288.676167036519
05-11,131,4082.5,2288.676167036519
05-12,132,4082.5,2288.676167036519
